Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #5260
Sample Name,Benzoic Acid
Formula,C7H6O2
Molecular Weight (g/mol),122.113
Sample Weight (g),2.0000
Water Temp (deg C),23.73
Room Temp (deg C),23.73
Water Volume (L),2.0
Wire Before (g),0.023
Wire After (g),0.019
=====,=====
Time (s),Temperature (C)
0.00,23.73
30.00,23.71
60.00,23.73
90.00,23.74
120.00,23.73
150.00,23.72
180.00,23.75
210.00,23.75
240.00,23.74
270.00,23.74
300.00,23.73
330.00,24.58
360.00,26.00
390.00,27.09
420.00,27.81
450.00,28.27
480.00,28.52
510.00,28.69
540.00,28.78
570.00,28.85
600.00,28.85
630.00,28.89
660.00,28.89
690.00,28.88
720.00,28.87
750.00,28.87
780.00,28.88
810.00,28.90
840.00,28.88
870.00,28.87
900.00,28.85
930.00,28.87
960.00,28.88
