Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #5260
Sample Name,Maleic Acid
Formula,C4H4O4
Molecular Weight (g/mol),116.052
Sample Weight (g),2.0000
Water Temp (deg C),22.54
Room Temp (deg C),22.54
Water Volume (L),2.0
Wire Before (g),0.029
Wire After (g),0.025
=====,=====
Time (s),Temperature (C)
0.00,22.54
30.00,22.54
60.00,22.54
90.00,22.53
120.00,22.53
150.00,22.55
180.00,22.52
210.00,22.56
240.00,22.52
270.00,22.54
300.00,22.53
330.00,22.92
360.00,23.52
390.00,24.02
420.00,24.35
450.00,24.56
480.00,24.66
510.00,24.72
540.00,24.78
570.00,24.79
600.00,24.80
630.00,24.82
660.00,24.83
690.00,24.84
720.00,24.82
750.00,24.83
780.00,24.81
810.00,24.84
840.00,24.80
870.00,24.80
900.00,24.81
930.00,24.84
960.00,24.83
