Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #5260
Sample Name,Naphthalene
Formula,C10H8
Molecular Weight (g/mol),128.174
Sample Weight (g),2.0000
Water Temp (deg C),22.43
Room Temp (deg C),22.43
Water Volume (L),2.0
Wire Before (g),0.028
Wire After (g),0.026
=====,=====
Time (s),Temperature (C)
0.00,22.43
30.00,22.43
60.00,22.43
90.00,22.44
120.00,22.43
150.00,22.42
180.00,22.44
210.00,22.43
240.00,22.44
270.00,22.44
300.00,22.43
330.00,23.73
360.00,25.88
390.00,27.54
420.00,28.62
450.00,29.31
480.00,29.76
510.00,29.96
540.00,30.12
570.00,30.19
600.00,30.25
630.00,30.26
660.00,30.29
690.00,30.29
720.00,30.29
750.00,30.29
780.00,30.29
810.00,30.28
840.00,30.26
870.00,30.28
900.00,30.24
930.00,30.26
960.00,30.26
