Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #5260
Sample Name,Sucrose
Formula,C12H22O11
Molecular Weight (g/mol),342.241
Sample Weight (g),2.0000
Water Temp (deg C),22.37
Room Temp (deg C),22.37
Water Volume (L),2.0
Wire Before (g),0.027
Wire After (g),0.018
=====,=====
Time (s),Temperature (C)
0.00,22.37
30.00,22.37
60.00,22.36
90.00,22.35
120.00,22.36
150.00,22.38
180.00,22.38
210.00,22.35
240.00,22.36
270.00,22.38
300.00,22.36
330.00,22.90
360.00,23.78
390.00,24.44
420.00,24.91
450.00,25.20
480.00,25.35
510.00,25.46
540.00,25.51
570.00,25.56
600.00,25.55
630.00,25.56
660.00,25.59
690.00,25.59
720.00,25.56
750.00,25.59
780.00,25.58
810.00,25.57
840.00,25.59
870.00,25.57
900.00,25.57
930.00,25.58
960.00,25.58
